"","estimate","se","se_neyman","eventTime"
"1",-0.0201767874690431,0.00421543473559524,0.00421543520114343,-6
"2",-0.0200824403892917,0.00415881836084088,0.00415881964546013,-5
"3",-0.0205981343788134,0.00408302174983672,0.00408369291114449,-4
"4",-0.0162129554128587,0.00365483950881954,0.00365562624301306,-3
"5",-0.0100404575242824,0.00286191093967437,0.00286295663637707,-2
"6",0,0,0,-1
"7",0.0124240720328801,0.00317681375920482,0.00317801910760603,0
"8",0.0221485488556326,0.00467371680549181,0.00467482463516518,1
"9",0.0277749758961824,0.00596594583809222,0.00596713121585599,2
"10",0.032835628031659,0.00742710820918489,0.0074284792858655,3
"11",0.0407892284444386,0.00943868029919044,0.00943871674682734,4
"12",0.0575617206176837,0.0130521345063045,0.0130521757241349,5
"13",0.0877644518136616,0.0214280532405466,0.021428105713144,6
